gene_name	823-RNA_L8	824-RNA_L8	825-RNA_L8	826-RNA_L8	828-RNA_L8	829-RNA_L8	830-RNA_L8	831-RNA_L8	832-RNA_L8	835-RNA_L8	836-RNA_L8	839-RNA_L8	840-RNA_L8	841-RNA_L8	847-RNA_L8
ENSMUSG00000001508.15	152	67	205	7	17	8	41	9	17	21	8	17	29	28	6	
ENSMUSG00000001510.8	16	2	2	2	0	3	1	1	18	196	128	113	146	46	266	
ENSMUSG00000001517.14	276	92	279	512	134	141	245	164	337	567	869	231	540	599	588	
ENSMUSG00000001518.12	350	143	499	302	280	176	317	191	354	393	442	268	372	357	421	
ENSMUSG00000001520.12	20	6	32	22	10	9	17	17	16	18	17	18	13	4	9	
ENSMUSG00000001521.12	156	76	260	209	147	54	109	81	142	457	517	254	374	324	468	
ENSMUSG00000001524.14	327	168	445	539	226	234	435	246	440	312	431	234	357	280	386	
ENSMUSG00000001525.10	6550	4105	9762	12944	4831	4086	6826	3098	8201	14237	23430	8398	14846	12920	17161	
ENSMUSG00000001542.6	865	466	826	553	1307	539	1100	756	1103	692	775	766	715	832	610	
ENSMUSG00000001552.14	8195	3784	6004	7343	10992	5284	9214	4782	7718	11600	11475	7942	9874	15573	11105	
ENSMUSG00000001555.10	420	220	710	360	268	81	197	111	196	194	356	280	235	372	242	
ENSMUSG00000001558.5	2	1	18	1	0	0	10	4	1	0	2	2	0	0	4	
ENSMUSG00000001566.9	87	43	91	10	18	10	52	14	13	25	25	29	20	9	25	
ENSMUSG00000001569.10	792	390	845	442	441	389	814	297	610	798	1027	574	731	595	704	
ENSMUSG00000001576.14	1625	752	2219	1486	1638	1289	2265	1034	1959	1770	2711	1552	2260	1960	2250	
ENSMUSG00000001583.13	622	270	702	363	838	388	593	367	508	631	874	447	655	486	659	
ENSMUSG00000001588.12	55	33	86	667	76	33	249	181	669	166	129	104	150	76	32	
ENSMUSG00000001604.14	1163	440	1523	250	792	667	1058	561	860	91	175	213	161	84	109	
ENSMUSG00000001622.15	1	0	0	0	0	1	0	0	0	0	0	4	0	2	0	
ENSMUSG00000001627.11	1406	788	1102	1488	1498	549	1264	729	1270	1103	1293	951	1030	775	854	
ENSMUSG00000001630.13	1471	743	1526	806	1401	619	1611	877	1319	1570	2389	1241	1569	1246	1823	
ENSMUSG00000001632.16	878	539	1091	719	976	357	860	450	723	1090	1041	729	984	760	817	
ENSMUSG00000001642.18	1639	941	1925	1366	1307	531	2200	951	1874	948	1581	869	1099	1132	1015	
ENSMUSG00000001655.6	10	0	0	0	0	0	0	0	0	1	0	0	3	0	0	
ENSMUSG00000001656.3	9	1	9	0	0	2	0	0	0	1	1	0	1	0	0	
ENSMUSG00000001657.7	7	0	0	1	0	0	0	2	0	1	1	0	2	0	0	
ENSMUSG00000001661.5	13	2	5	4	3	3	0	0	1	3	2	0	6	0	1	
ENSMUSG00000001663.10	874	585	1793	406	922	287	794	357	492	117	152	175	127	86	72	
ENSMUSG00000001665.10	1064	526	1340	775	1240	638	1291	676	902	254	402	379	300	278	257	
ENSMUSG00000001666.8	377	165	466	421	409	242	432	260	469	161	275	161	200	169	244	
ENSMUSG00000001670.13	720	285	582	2783	2082	830	1588	828	1190	508	711	513	579	306	516	
ENSMUSG00000001672.14	2592	1406	2171	1542	2735	1081	3474	1820	2717	1621	2394	1859	1803	1328	1780	
ENSMUSG00000001674.11	649	334	650	831	489	384	847	403	841	1072	1512	844	1122	815	1100	
ENSMUSG00000001687.15	2566	1483	2503	1604	2294	1504	3007	1743	2363	1454	1680	1628	1462	1083	1400	
ENSMUSG00000001700.9	789	326	686	1483	1792	2931	1467	883	1410	535	993	544	786	548	662	
ENSMUSG00000001707.7	372	170	404	460	372	279	484	255	631	478	688	369	487	400	450	
ENSMUSG00000001729.14	4430	2483	5763	5376	4838	2701	5895	2644	4606	6247	7717	4473	6347	5198	6076	
ENSMUSG00000001739.14	472	309	1075	539	317	3208	2027	1476	1884	159	360	398	351	166	321	
ENSMUSG00000001741.12	38	28	91	249	91	14	124	61	317	58	41	62	70	49	23	
ENSMUSG00000001750.15	1364	594	1752	1571	1922	947	1345	1321	1757	2090	2338	1134	1755	1511	1630	
ENSMUSG00000001751.9	518	298	606	514	685	363	684	396	571	427	672	491	459	400	590	
ENSMUSG00000001755.12	671	330	809	830	705	563	930	460	828	770	1053	547	736	583	929	
ENSMUSG00000001761.7	859	466	1291	310	408	219	851	343	590	852	1112	668	879	1014	808	
ENSMUSG00000001763.14	689	356	954	187	366	68	563	151	325	87	126	149	110	97	102	
ENSMUSG00000001767.5	808	348	663	631	611	366	910	460	854	869	995	717	747	608	865	
ENSMUSG00000001768.15	1875	990	2448	617	1520	734	2151	881	1641	2488	2941	2337	2631	1974	2760	
ENSMUSG00000001773.14	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000001774.8	959	474	914	1132	1213	695	1342	751	1500	1266	1523	1189	1254	737	1227	
ENSMUSG00000001783.3	4691	2539	5397	3447	4015	2392	5225	2431	4397	3287	4920	3017	3698	2543	3622	
ENSMUSG00000001785.12	516	348	757	458	395	239	675	267	579	609	856	496	724	627	665	
ENSMUSG00000001786.14	567	216	682	460	398	347	645	333	556	292	406	210	346	227	351	
ENSMUSG00000001794.13	7975	4289	9696	10459	11374	5785	9328	6057	9272	9339	11201	6862	8577	10203	10377	
ENSMUSG00000001802.16	152	104	301	78	125	41	66	50	50	47	64	44	50	47	44	
ENSMUSG00000001804.9	1	3	2	0	0	1	2	0	3	13	9	15	6	22	43	
ENSMUSG00000001815.15	329	166	298	79	97	2	149	39	85	185	191	187	83	126	134	
ENSMUSG00000001819.4	6718	3942	7127	2645	3642	58	4374	1492	3601	4211	5200	3729	3703	2672	3661	
ENSMUSG00000001823.5	427	204	398	42	120	3	217	46	236	946	1267	313	864	352	489	
ENSMUSG00000001827.12	0	1	6	2	5	7	8	12	3	3	0	1	0	1	1	
ENSMUSG00000001829.17	679	290	794	647	656	366	785	387	663	604	690	417	568	516	591	
ENSMUSG00000001833.17	2326	1439	2526	2024	2321	1089	2311	1237	2152	2348	2940	2290	2113	1821	2320	
ENSMUSG00000001844.10	810	345	973	549	531	294	699	379	695	600	677	482	510	542	550	
ENSMUSG00000001847.14	9192	4639	7799	9266	12414	6369	11790	6170	10370	7932	9772	7378	7928	7718	8474	
ENSMUSG00000001855.15	407	198	556	475	325	218	399	174	370	545	674	353	584	621	594	
ENSMUSG00000001864.13	30	11	33	10	9	1	14	3	39	356	679	296	454	220	685	
ENSMUSG00000001865.2	9	2	3	1	9	1	23	28	69	190	614	51	96	50	34	
ENSMUSG00000001870.15	579	330	1045	438	345	164	315	128	372	634	922	669	755	490	833	
ENSMUSG00000001891.16	4098	2068	3939	3234	5304	3452	4564	2806	4135	1670	2165	2112	1772	1219	1833	
ENSMUSG00000001901.15	42	12	42	20	34	19	34	33	38	1	12	15	5	5	6	
ENSMUSG00000001909.15	1486	551	2105	1069	648	608	1524	814	1394	942	1250	733	828	871	1082	
ENSMUSG00000001910.4	2424	1296	3067	2511	2608	1473	2888	1270	2394	2890	3634	2158	2985	2506	2779	
ENSMUSG00000001911.16	2212	1136	3154	1036	961	445	1220	549	992	1865	2575	1231	1877	1778	1974	
ENSMUSG00000001918.17	5363	2823	7643	2769	4596	2809	5352	3920	5418	4043	4733	2812	3419	2894	3677	
ENSMUSG00000001924.15	6244	3407	6654	6602	7828	4516	8285	3501	6389	6777	9109	7427	7775	6833	7620	
ENSMUSG00000001930.17	460	210	871	314	292	72	218	144	161	311	379	343	329	397	325	
ENSMUSG00000001942.8	507	197	521	194	361	222	447	187	328	249	345	332	280	218	296	
ENSMUSG00000001943.8	129	51	173	18	22	164	60	59	46	30	15	22	27	14	22	
ENSMUSG00000001946.14	316	197	466	296	226	74	203	99	252	182	271	222	246	236	231	
ENSMUSG00000001948.10	64	12	68	18	32	5	18	17	25	34	41	27	19	12	68	
ENSMUSG00000001962.8	1143	638	1128	836	1048	375	1161	550	1005	760	1042	684	776	707	783	
ENSMUSG00000001964.14	1257	790	1544	1446	1388	614	1388	608	1063	1063	1456	831	1176	1019	821	
ENSMUSG00000001983.7	168	91	168	176	216	181	329	114	176	191	230	170	164	135	152	
ENSMUSG00000001985.9	51	33	145	81	82	25	17	14	15	22	3	22	18	14	3	
ENSMUSG00000001986.16	118	145	246	48	66	12	33	25	39	28	10	50	12	10	13	
ENSMUSG00000001988.9	19	6	16	7	12	1	19	4	8	17	10	8	9	9	8	
ENSMUSG00000001995.9	455	231	565	419	461	179	327	151	348	860	854	468	771	815	768	
ENSMUSG00000001998.15	138	66	220	67	129	51	93	58	91	202	148	118	153	130	122	
ENSMUSG00000001999.15	594	310	680	594	440	358	587	355	656	412	565	298	420	342	406	
ENSMUSG00000002006.12	148	67	226	116	138	57	82	54	63	54	32	50	42	117	50	
ENSMUSG00000002007.5	71	46	127	98	14	10	41	60	131	35	5	41	44	13	8	
ENSMUSG00000002010.17	4790	2271	5602	2774	3071	2234	5040	2282	4039	2315	3121	2259	2481	2184	2343	
ENSMUSG00000002012.13	580	363	1017	102	204	57	162	137	133	96	39	92	74	135	18	
ENSMUSG00000002014.12	4103	2504	4786	4039	4660	3335	5620	4377	6518	3010	3697	2701	2701	2521	2890	
ENSMUSG00000002015.5	4082	1976	4130	4137	4863	3122	5191	2819	4746	2731	4014	2700	3111	2509	3377	
ENSMUSG00000002017.9	970	520	1218	609	874	486	1212	499	1050	947	1396	859	1081	842	1043	
ENSMUSG00000002020.15	76	9	43	121	20	21	117	22	62	606	386	341	416	1081	140	
ENSMUSG00000002028.13	1174	508	1672	576	846	385	821	496	906	1129	1023	818	928	862	870	
ENSMUSG00000002031.12	901	438	1133	707	631	446	872	386	781	728	986	608	752	722	1081	
ENSMUSG00000002032.17	171	59	247	36	173	93	94	84	56	39	33	41	57	59	11	
ENSMUSG00000002033.14	24	20	32	82	44	52	132	67	145	83	93	50	57	29	47	
ENSMUSG00000002043.17	1707	946	1935	936	1253	1195	2000	1237	1989	726	1089	696	790	753	926	
ENSMUSG00000002052.6	2438	1363	2683	1697	2316	1142	2109	996	1744	2111	2412	1763	2195	2304	2105	
ENSMUSG00000002055.9	227	84	296	487	78	188	250	153	335	484	714	239	542	449	496	
ENSMUSG00000002057.4	55	19	57	43	56	3	50	38	42	126	94	95	72	83	120	
ENSMUSG00000002058.13	2147	1454	2356	1164	1893	258	2378	1461	2181	569	837	822	673	518	590	
ENSMUSG00000002059.18	337	245	576	266	241	63	174	116	214	206	208	174	193	259	128	
ENSMUSG00000002064.10	2102	988	2249	1836	1822	1374	2421	1611	2688	1181	1381	1105	1366	1248	1305	
ENSMUSG00000002068.16	85	60	106	360	122	95	195	117	207	275	518	134	277	297	285	
ENSMUSG00000002076.11	38	27	29	75	63	13	64	72	62	72	63	37	38	27	80	
ENSMUSG00000002083.13	195	132	384	103	123	91	379	121	221	224	336	180	213	145	251	
ENSMUSG00000002100.15	0	0	4	0	2	3	1	0	2	3	1	1	1	2	2	
ENSMUSG00000002102.15	3805	2173	4434	4542	3503	2375	4282	2259	4263	3620	5524	3021	3860	3088	3919	
ENSMUSG00000002103.15	835	342	888	630	881	324	814	395	698	792	971	685	825	593	776	
ENSMUSG00000002104.11	16	2	12	5	2	1	7	4	13	14	30	13	16	4	21	
ENSMUSG00000002105.15	304	153	451	251	229	99	228	133	266	392	397	323	433	298	437	
ENSMUSG00000002107.18	439	234	613	362	243	95	257	149	312	184	164	204	167	138	119	
ENSMUSG00000002108.10	564	252	700	346	624	252	673	357	615	86	218	214	128	132	164	
ENSMUSG00000002109.14	193	115	332	76	80	51	127	108	159	147	126	117	150	109	116	
ENSMUSG00000002111.8	118	65	116	542	234	77	192	113	350	155	327	208	263	215	226	
ENSMUSG00000002129.11	1319	639	1659	1551	1379	768	1839	733	1612	1544	2279	1326	1762	1590	1822	
ENSMUSG00000002147.18	2376	1143	2712	1936	2070	1320	2176	1136	1926	2324	2370	1893	2082	2108	1984	
ENSMUSG00000002190.13	9	9	21	17	27	6	2	5	5	1	1	6	5	1	0	
ENSMUSG00000002204.9	37	21	51	485	81	14	136	64	260	67	40	58	53	37	28	
ENSMUSG00000002205.16	1071	463	1333	1200	1076	807	1362	671	1302	777	1153	653	834	600	960	
ENSMUSG00000002210.11	748	358	1047	791	494	411	826	452	894	885	1158	607	802	732	958	
ENSMUSG00000002221.11	552	282	683	487	487	329	600	316	573	765	830	550	778	654	611	
ENSMUSG00000002222.14	3104	1347	2995	1427	2437	1820	2604	1180	2023	1527	1988	1740	1751	1343	1828	
ENSMUSG00000002227.15	530	275	549	998	909	359	923	551	737	599	891	553	637	434	591	
ENSMUSG00000002228.7	817	420	664	1505	1672	201	857	878	1031	742	542	556	567	405	510	
ENSMUSG00000002233.13	10662	6218	8577	9707	13214	3879	12632	8580	11977	4398	5377	5985	4464	3132	4541	
ENSMUSG00000002240.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000002249.18	1272	674	1914	573	1119	523	849	426	601	757	704	551	674	890	575	
ENSMUSG00000002250.15	4009	1532	4457	4284	6238	2684	4920	2276	3247	1694	2469	1964	2020	1760	1703	
ENSMUSG00000002257.7	92	30	48	171	72	33	143	62	170	202	157	107	134	246	71	
ENSMUSG00000002265.16	275	187	554	235	314	97	150	92	108	73	45	145	57	49	58	
ENSMUSG00000002266.17	2	2	11	1	2	1	1	2	0	2	1	2	0	4	0	
ENSMUSG00000002274.12	13	9	16	21	19	7	10	3	15	7	8	7	4	7	6	
ENSMUSG00000002279.18	432	199	663	403	378	307	531	259	514	341	525	336	457	286	481	
ENSMUSG00000002280.10	629	247	682	567	601	395	677	343	604	425	448	330	380	345	411	
ENSMUSG00000002289.15	86	60	435	348	74	129	53	24	63	68	81	50	64	148	102	
ENSMUSG00000002297.15	259	94	237	604	200	272	369	204	388	776	927	416	597	505	620	
ENSMUSG00000002307.15	771	371	819	638	730	452	814	437	831	679	927	556	760	536	642	
ENSMUSG00000002308.15	445	229	617	306	164	211	604	288	545	377	567	276	407	290	525	
ENSMUSG00000002319.15	918	485	1228	781	598	297	910	415	755	787	1152	592	841	1099	863	
ENSMUSG00000002320.15	1417	533	1257	1360	2065	1027	2205	1087	1587	1435	1734	1256	1571	1124	1257	
ENSMUSG00000002324.7	67	28	116	32	48	45	46	41	94	414	836	531	289	439	539	
ENSMUSG00000002325.14	705	275	819	1008	1223	496	1268	1022	1641	1558	2359	1038	1388	790	1166	
ENSMUSG00000002326.5	586	313	682	465	524	249	636	338	573	535	626	436	502	462	451	
ENSMUSG00000002329.6	2021	1129	2343	2241	2765	2065	3061	2066	2949	1170	1499	1156	1074	903	1166	
ENSMUSG00000002332.15	1550	857	1703	1554	2030	497	1777	811	1570	1581	1655	1082	1439	1543	1318	
ENSMUSG00000002341.8	8	19	42	4	16	1	6	4	6	4	2	4	1	4	0	
ENSMUSG00000002342.17	836	426	1077	663	599	372	789	478	876	668	781	482	572	519	625	
ENSMUSG00000002343.11	113	75	191	288	147	153	237	134	237	162	244	124	156	194	216	
ENSMUSG00000002345.17	621	271	664	484	534	327	636	358	608	436	512	315	427	397	432	
ENSMUSG00000002346.16	515	248	607	145	233	321	345	215	347	149	131	163	155	152	150	
ENSMUSG00000002365.9	1851	924	1486	1263	1906	963	1913	878	1825	1361	1727	1590	1484	958	1356	
ENSMUSG00000002372.8	1556	815	1984	1611	1320	955	1644	925	1714	1703	2239	1171	1639	1453	1516	
ENSMUSG00000002379.6	2344	1374	2899	2367	2448	1765	3037	1825	2752	1170	1801	1066	1307	1194	1503	
ENSMUSG00000002384.2	3	0	10	394	145	94	19	71	54	61	31	24	38	45	36	
ENSMUSG00000002393.14	1423	791	1514	1218	1477	1063	2002	1074	1603	1328	1361	1064	1177	896	1319	
ENSMUSG00000002395.14	3496	1841	4476	2257	1927	1416	3688	2088	3298	1389	1729	1443	1355	1262	1327	
ENSMUSG00000002396.8	804	391	961	539	762	441	800	525	797	535	472	504	476	341	465	
ENSMUSG00000002409.18	381	169	495	322	251	216	379	244	340	420	478	324	339	368	452	
ENSMUSG00000002413.15	402	216	536	285	352	225	345	203	335	420	337	427	322	390	333	
ENSMUSG00000002416.13	363	194	487	295	294	240	416	324	457	174	171	138	151	138	157	
ENSMUSG00000002428.12	547	214	593	424	367	287	583	344	641	520	725	470	452	345	497	
ENSMUSG00000002455.14	1914	896	1939	1325	1529	813	1856	754	1382	1539	2070	1395	1708	1382	1863	
ENSMUSG00000002458.13	224	114	204	249	143	50	287	144	391	299	365	229	338	328	284	
ENSMUSG00000002459.17	3	1	4	3	7	1	2	0	3	0	0	0	1	2	0	
ENSMUSG00000002475.15	51	33	32	21	43	152	35	35	31	17	16	22	17	6	21	
ENSMUSG00000002477.4	933	552	1065	1748	695	700	1433	769	1950	1375	2150	809	1269	917	1291	
ENSMUSG00000002486.15	169	62	290	193	173	103	166	140	230	288	253	163	223	186	232	
ENSMUSG00000002489.15	253	60	147	160	129	65	266	83	236	746	744	494	597	1057	567	
ENSMUSG00000002496.9	1316	538	1660	810	1241	611	1195	713	1031	895	1139	753	1057	995	1027	
ENSMUSG00000002500.15	170	5	49	3	1	0	0	1	2	0	5	2	13	3	1	
ENSMUSG00000002504.14	439	312	742	309	388	179	537	235	515	231	281	333	218	194	233	
ENSMUSG00000002524.15	3222	1533	3576	3216	2798	1543	3859	1813	3824	2775	4006	2314	2921	2411	3077	
ENSMUSG00000002546.16	2222	959	2386	1764	2393	1181	2252	1054	1572	1845	1815	1408	1672	1564	1470	
ENSMUSG00000002550.16	807	411	1055	699	840	675	930	549	810	679	762	594	660	557	607	
ENSMUSG00000002565.16	1450	648	1437	587	3986	1626	3012	1549	1758	286	694	903	463	593	283	
ENSMUSG00000002578.15	12	8	28	30	17	7	7	6	5	15	23	16	19	11	24	
ENSMUSG00000002580.7	726	408	866	821	955	664	1118	790	1186	395	741	438	518	307	496	
ENSMUSG00000002588.12	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	
ENSMUSG00000002602.16	1147	705	2000	853	1134	312	633	334	641	740	920	944	948	809	651	
ENSMUSG00000002603.15	301	146	450	749	430	111	443	236	552	750	1044	496	724	1137	789	
ENSMUSG00000002608.8	1089	414	1426	1127	1181	591	1225	686	1064	1142	1527	831	1149	1077	1242	
ENSMUSG00000002617.14	74	34	130	26	77	26	27	43	67	38	45	47	40	47	40	
ENSMUSG00000002625.9	1040	379	1417	488	560	389	704	533	744	597	545	413	478	389	449	
ENSMUSG00000002633.4	0	1	2	2	5	19	2	7	8	383	160	183	197	23	298	
ENSMUSG00000002635.11	373	192	477	334	240	170	371	184	396	296	353	225	261	220	309	
ENSMUSG00000002658.9	1811	871	1862	1961	1956	1010	2151	962	1925	1747	2291	1422	1593	1396	1572	
ENSMUSG00000002660.7	1098	665	1598	1092	935	751	1205	722	1275	850	1210	671	783	743	887	
ENSMUSG00000002661.14	603	295	705	347	561	287	668	324	661	195	279	220	201	165	208	
ENSMUSG00000002664.2	9	6	7	5	5	6	17	8	11	4	8	4	7	3	1	
ENSMUSG00000002668.7	341	165	322	481	550	414	531	354	664	427	640	339	450	267	445	
ENSMUSG00000002679.14	390	231	495	532	439	294	516	306	646	433	658	395	418	337	420	
ENSMUSG00000002688.7	47	35	99	29	30	19	23	16	63	193	184	169	151	187	189	
ENSMUSG00000002699.13	22	17	54	160	95	39	70	76	189	106	168	105	109	128	98	
ENSMUSG00000002718.14	801	390	972	1040	668	549	1103	501	1237	1292	1901	975	1337	1027	1283	
ENSMUSG00000002728.14	1353	847	1468	1288	1695	822	1862	1097	1768	1051	1456	834	987	759	928	
ENSMUSG00000002731.6	1182	548	1184	720	1151	601	1227	728	1202	512	825	573	555	378	588	
ENSMUSG00000002732.14	241	161	310	132	133	49	146	87	173	69	68	120	105	68	52	
ENSMUSG00000002733.8	1076	688	1282	711	1591	764	1252	751	1050	698	932	624	794	641	654	
ENSMUSG00000002741.9	2992	1389	2762	3586	3410	2223	3825	2012	3414	3105	3644	2544	2985	2662	2981	
ENSMUSG00000002748.7	2061	1184	2467	2165	1912	1330	2205	1166	2037	2785	3526	2089	2642	2048	2500	
ENSMUSG00000002763.16	1508	625	2024	1489	1440	1436	1926	1208	1919	1069	1358	939	1147	831	1126	
ENSMUSG00000002767.13	1499	809	1844	1955	1104	1239	1903	889	1677	1028	1561	779	923	803	1014	
ENSMUSG00000002768.7	1547	849	1578	1543	1726	1078	2080	1185	2020	1284	1763	1109	1133	882	1278	
ENSMUSG00000002769.8	16	7	6	8	7	6	6	5	8	7	12	7	11	8	9	
ENSMUSG00000002771.12	75	32	123	61	47	60	67	49	83	52	46	52	73	49	54	
ENSMUSG00000002778.14	4035	1738	4454	4230	3678	3228	4948	2551	4249	2932	4161	2618	3026	2531	3702	
ENSMUSG00000002781.19	404	197	491	273	292	232	389	200	316	201	281	152	186	165	261	
ENSMUSG00000002791.16	0	1	3	0	0	0	1	2	1	1	2	1	0	1	0	
ENSMUSG00000002797.9	132	43	132	125	81	43	83	42	128	70	115	72	77	81	67	
ENSMUSG00000002799.5	217	82	161	136	111	26	138	95	110	540	174	264	419	968	335	
ENSMUSG00000002803.13	631	271	687	398	568	371	671	368	557	367	483	276	313	322	379	
ENSMUSG00000002804.3	854	458	940	714	524	646	1178	705	1221	553	855	412	573	583	645	
ENSMUSG00000002808.6	352	171	464	181	169	113	89	37	89	55	39	42	54	54	25	
ENSMUSG00000002812.4	4658	2079	4766	3384	5122	2340	4680	2107	3653	3520	3715	2922	3285	3539	3393	
ENSMUSG00000002814.15	156	109	261	184	156	111	196	119	194	304	294	184	228	260	278	
ENSMUSG00000002820.6	1710	742	1539	1686	1924	1695	2241	1325	2025	974	1199	954	1094	823	986	
ENSMUSG00000002825.7	408	216	675	432	203	167	490	257	583	785	1010	477	701	543	792	
ENSMUSG00000002831.13	1122	597	2063	268	379	134	174	109	175	136	35	117	148	123	36	
ENSMUSG00000002833.10	931	456	1132	977	715	361	851	473	933	1078	1168	650	993	754	893	
ENSMUSG00000002835.8	121	82	158	388	149	141	267	110	229	390	602	252	482	395	403	
ENSMUSG00000002844.8	1451	713	1465	1449	1475	677	1457	876	1578	935	1390	919	945	803	1037	
ENSMUSG00000002845.14	427	164	517	430	543	257	586	303	555	487	589	404	488	471	404	
ENSMUSG00000002846.9	491	199	526	530	513	347	689	355	692	397	644	328	373	356	464	
ENSMUSG00000002847.6	98	37	110	137	71	16	45	17	58	116	342	128	169	97	161	
ENSMUSG00000002870.8	386	247	547	1019	405	414	838	370	984	1430	2305	741	1458	1184	1354	
ENSMUSG00000002871.14	1041	471	1460	670	938	710	1137	668	1155	1209	1597	858	1251	917	1459	
ENSMUSG00000002881.14	1322	761	1543	1488	1878	743	1599	900	1533	1663	1489	1300	1358	1544	1134	
ENSMUSG00000002885.14	820	443	1173	623	851	250	806	464	761	867	769	656	960	1009	772	
ENSMUSG00000002897.5	463	181	498	626	630	287	526	290	601	440	554	381	438	418	383	
ENSMUSG00000002900.15	1200	762	1901	1041	1710	514	1142	467	1281	1200	1459	1806	1548	1128	1244	
ENSMUSG00000002908.17	35	21	83	24	43	5	29	19	20	12	11	10	15	4	10	
ENSMUSG00000002910.11	381	134	434	279	293	353	364	313	410	315	330	296	272	232	279	
ENSMUSG00000002930.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000002944.15	549	258	1048	258	241	52	170	50	159	94	172	177	131	47	83	
ENSMUSG00000002948.19	1108	468	1600	804	841	541	966	566	973	1094	1230	740	849	773	899	
ENSMUSG00000002949.15	1836	950	2232	1745	1388	1205	2213	1046	2118	1249	1694	1075	1231	982	1229	
ENSMUSG00000002957.11	1471	796	1739	1826	2325	1660	1843	946	1422	1340	1838	1208	1475	1273	1454	
ENSMUSG00000002963.17	951	411	903	896	737	503	922	533	835	664	759	541	665	544	725	
ENSMUSG00000002968.8	1914	805	2185	1677	1923	1186	1889	1064	1500	1523	1961	1138	1578	1517	1725	
ENSMUSG00000002980.14	1162	569	1454	786	712	198	628	213	511	1904	1511	1315	1608	2459	1591	
ENSMUSG00000002981.10	4835	2393	5045	4844	6101	3274	6503	3311	4926	3686	4782	3267	3833	3163	4135	
ENSMUSG00000002983.17	1825	954	1993	1553	1576	955	2154	1240	1937	1468	1640	1426	1434	1071	1582	
ENSMUSG00000002984.17	1334	728	1509	2529	1452	1060	2027	978	1887	1641	2400	1131	1707	1558	1706	
ENSMUSG00000002985.16	8916	5064	12757	13600	9045	4257	10972	6345	13485	9297	11149	14504	13463	6257	11351	
ENSMUSG00000002992.17	0	0	1	1	0	0	0	0	0	1	0	0	1	0	4	
ENSMUSG00000002996.17	2406	1110	2803	1092	1424	884	2510	1323	1926	1831	2040	1901	1634	1594	2223	
ENSMUSG00000002997.15	185	91	301	40	71	22	102	38	94	141	108	159	108	191	107	
ENSMUSG00000003031.14	1836	1142	2192	1236	2108	1090	2225	1110	1587	1177	1214	1218	979	960	968	
ENSMUSG00000003032.8	17944	8406	13076	8341	21200	7279	17821	9697	11271	3460	4432	7688	4313	4236	3582	
ENSMUSG00000003033.15	763	342	1059	652	520	296	526	278	602	706	710	494	674	707	616	
ENSMUSG00000003037.16	2906	1681	2556	2701	3391	2166	4115	2102	3292	2243	3151	2186	2310	2129	2389	
ENSMUSG00000003038.15	3314	1706	3405	4266	1417	1462	2802	1595	4129	3783	5904	2579	3643	2970	3999	
ENSMUSG00000003039.9	2837	1804	3091	2879	3171	1928	2970	1965	3588	2876	2519	1908	2386	1731	2048	
ENSMUSG00000003051.13	9767	5968	12663	18881	25720	12974	14730	9232	14382	10935	15099	7918	11413	10932	11650	
ENSMUSG00000003053.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000003062.12	738	338	676	1056	933	1097	935	617	996	821	1104	662	814	581	919	
ENSMUSG00000003068.16	2468	1181	2973	2098	2194	1221	2561	1414	2247	2410	2692	1646	2307	2102	2104	
ENSMUSG00000003070.6	5	7	20	26	22	5	9	5	12	30	16	10	17	14	5	
ENSMUSG00000003072.15	11344	6009	13855	11865	11443	9409	14385	8792	13470	5181	7303	4901	5692	5336	6077	
ENSMUSG00000003099.11	4147	1950	4108	3042	3724	1820	4043	2608	3820	2457	3249	2270	2413	2102	2232	
ENSMUSG00000003119.14	556	292	636	301	574	219	578	194	415	571	708	491	525	420	549	
ENSMUSG00000003123.15	189	80	632	277	281	146	175	98	187	134	153	96	167	161	124	
ENSMUSG00000003131.7	1394	700	1354	1406	1480	768	1340	716	1339	1813	2305	1292	1670	1357	1866	
ENSMUSG00000003134.10	475	247	715	213	337	134	403	202	397	303	317	272	281	326	216	
ENSMUSG00000003135.15	641	288	664	556	574	340	799	374	654	653	915	575	739	572	756	
ENSMUSG00000003153.10	77	63	153	277	114	46	69	41	44	86	65	65	103	177	59	
ENSMUSG00000003154.15	791	397	983	517	880	329	727	461	635	579	620	559	599	553	562	
ENSMUSG00000003161.15	8596	4592	8383	7965	11283	6734	12714	8414	13414	4589	6543	5595	4381	3633	4960	
ENSMUSG00000003166.19	1827	893	2284	1428	1369	1204	2106	1039	1960	1612	2047	1287	1573	1300	1654	
ENSMUSG00000003184.15	1844	970	2566	1845	1795	1080	1933	1353	2034	1542	1742	1052	1535	1196	1281	
ENSMUSG00000003190.12	161	54	211	164	135	95	194	104	195	230	251	131	171	180	243	
ENSMUSG00000003198.9	154	52	137	63	70	55	128	60	116	114	143	113	64	75	138	
ENSMUSG00000003199.16	1826	855	2256	1367	1223	1215	1923	1157	2050	1381	2061	1051	1335	990	1545	
ENSMUSG00000003200.9	1038	429	1190	1063	1093	538	959	646	1086	1260	1411	929	1295	1112	1234	
